gisjoin,name_dp,var_code,dp,name_sf,sf
G06012314,Cedar Slope CDP,IFE003,31,Cedar Slope CDP,79
G06012328,Cedarville CDP,IFE003,0,Cedarville CDP,57
G06012412,Centerville CDP,IFE003,0,Centerville CDP,13
G06012524,Ceres city,IFE003,1408,Ceres city,981
G06012552,Cerritos city,IFE003,1575,Cerritos city,333
G06012594,Chalfant CDP,IFE003,1,Chalfant CDP,37
G06012612,Challenge-Brownsville CDP,IFE003,69,Challenge-Brownsville CDP,118
G06012669,Channel Islands Beach CDP,IFE003,386,Channel Islands Beach CDP,517
G06012734,Charter Oak CDP,IFE003,283,Charter Oak CDP,100
G06012818,Cherokee CDP,IFE003,0,Cherokee CDP,4
G06012860,Cherokee Strip CDP,IFE003,0,Cherokee Strip CDP,8
G06012902,Cherryland CDP,IFE003,884,Cherryland CDP,332
G06012916,Cherry Valley CDP,IFE003,160,Cherry Valley CDP,262
G06012930,Chester CDP,IFE003,104,Chester CDP,294
G06013014,Chico city,IFE003,3176,Chico city,2245
G06013077,Chilcoot-Vinton CDP,IFE003,0,Chilcoot-Vinton CDP,52
G06013157,China Lake Acres CDP,IFE003,64,China Lake Acres CDP,100
G06013182,Chinese Camp CDP,IFE003,0,Chinese Camp CDP,10
G06013210,Chino city,IFE003,1296,Chino city,1025
G06013214,Chino Hills city,IFE003,1956,Chino Hills city,676
G06013294,Chowchilla city,IFE003,156,Chowchilla city,481
G06013364,Chualar CDP,IFE003,0,Chualar CDP,6
G06013392,Chula Vista city,IFE003,7402,Chula Vista city,3901
G06013560,Citrus CDP,IFE003,1,Citrus CDP,86
G06013588,Citrus Heights city,IFE003,3808,Citrus Heights city,2389
G06013756,Claremont city,IFE003,449,Claremont city,548
G06013784,Clarksburg CDP,IFE003,0,Clarksburg CDP,14
G06013854,Clay CDP,IFE003,0,Clay CDP,27
G06013882,Clayton city,IFE003,23,Clayton city,80
G06013910,Clear Creek CDP,IFE003,0,Clear Creek CDP,89
G06013945,Clearlake city,IFE003,2179,Clearlake city,2065
G06013966,Clearlake Oaks CDP,IFE003,734,Clearlake Oaks CDP,645
G06013985,Clearlake Riviera CDP,IFE003,526,Clearlake Riviera CDP,333
G06014008,Cleone CDP,IFE003,0,Cleone CDP,72
G06014106,Clio CDP,IFE003,0,Clio CDP,21
G06014148,Clipper Mills CDP,IFE003,12,Clipper Mills CDP,71
G06014190,Cloverdale city,IFE003,56,Cloverdale city,245
G06014218,Clovis city,IFE003,3182,Clovis city,1887
G06014232,Clyde CDP,IFE003,0,Clyde CDP,16
G06014260,Coachella city,IFE003,792,Coachella city,905
G06014274,Coalinga city,IFE003,2,Coalinga city,448
G06014288,Coarsegold CDP,IFE003,118,Coarsegold CDP,98
G06014302,Cobb CDP,IFE003,212,Cobb CDP,275
G06014406,Coffee Creek CDP,IFE003,0,Coffee Creek CDP,67
G06014442,Cohasset CDP,IFE003,0,Cohasset CDP,53
G06014450,Cold Springs CDP,IFE003,33,Cold Springs CDP,11
G06014454,Cold Springs CDP,IFE003,348,Cold Springs CDP,359
G06014484,Coleville CDP,IFE003,0,Coleville CDP,30
G06014498,Colfax city,IFE003,199,Colfax city,106
G06014554,College City CDP,IFE003,0,College City CDP,10
G06014708,Collierville CDP,IFE003,0,Collierville CDP,47
G06014736,Colma town,IFE003,145,Colma town,22
G06014764,Coloma CDP,IFE003,1,Coloma CDP,35
G06014890,Colton city,IFE003,1229,Colton city,1379
G06014904,Columbia CDP,IFE003,12,Columbia CDP,115
G06014946,Colusa city,IFE003,0,Colusa city,140
G06014974,Commerce city,IFE003,38,Commerce city,88
G06015030,Comptche CDP,IFE003,4,Comptche CDP,16
G06015044,Compton city,IFE003,1106,Compton city,1461
G06016000,Concord city,IFE003,3271,Concord city,2847
G06016035,Concow CDP,IFE003,4,Concow CDP,58
G06016210,Copperopolis CDP,IFE003,878,Copperopolis CDP,870
G06016224,Corcoran city,IFE003,6,Corcoran city,364
G06016322,Corning city,IFE003,165,Corning city,241
G06016350,Corona city,IFE003,4095,Corona city,2224
G06016378,Coronado city,IFE003,168,Coronado city,2225
G06016420,Coronita CDP,IFE003,40,Coronita CDP,31
G06016434,Corralitos CDP,IFE003,121,Corralitos CDP,59
G06016462,Corte Madera town,IFE003,236,Corte Madera town,233
G06016532,Costa Mesa city,IFE003,1632,Costa Mesa city,2174
G06016560,Cotati city,IFE003,90,Cotati city,165
G06016580,Coto de Caza CDP,IFE003,2,Coto de Caza CDP,117
G06016630,Cottonwood CDP,IFE003,27,Cottonwood CDP,106
G06016644,Coultervillle CDP,IFE003,0,Coultervillle CDP,35
G06016651,Country Club CDP,IFE003,226,Country Club CDP,307
G06016714,Courtland CDP,IFE003,1,Courtland CDP,23
G06016728,Covelo CDP,IFE003,0,Covelo CDP,61
G06016742,Covina city,IFE003,1412,Covina city,721
G06016762,Cowan CDP,IFE003,0,Cowan CDP,8
G06017022,Crescent City city,IFE003,0,Crescent City city,199
G06017050,Crescent Mills CDP,IFE003,0,Crescent Mills CDP,22
G06017078,Cressey CDP,IFE003,0,Cressey CDP,9
G06017106,Crest CDP,IFE003,0,Crest CDP,35
G06017162,Crestline CDP,IFE003,2443,Crestline CDP,2973
G06017204,Crestmore Heights CDP,IFE003,0,Crestmore Heights CDP,11
G06017232,Creston CDP,IFE003,0,Creston CDP,3
