gisjoin,name_dp,var_code,dp,name_sf,sf
G3200090,Esmeralda County,H7Z007,0,Esmeralda County,0
G3200110,Eureka County,H7Z007,0,Eureka County,0
G3200130,Humboldt County,H7Z007,45,Humboldt County,18
G3200150,Lander County,H7Z007,5,Lander County,1
G3200170,Lincoln County,H7Z007,1,Lincoln County,14
G3200190,Lyon County,H7Z007,91,Lyon County,124
G3200210,Mineral County,H7Z007,48,Mineral County,6
G3200230,Nye County,H7Z007,182,Nye County,179
G3200270,Pershing County,H7Z007,1,Pershing County,7
G3200290,Storey County,H7Z007,11,Storey County,12
G3200310,Washoe County,H7Z007,2330,Washoe County,2358
G3200330,White Pine County,H7Z007,8,White Pine County,9
G3205100,Carson City,H7Z007,99,Carson City,91
G3200010,Churchill County,H7Z008,5,Churchill County,25
G3200030,Clark County,H7Z008,3737,Clark County,3719
G3200050,Douglas County,H7Z008,49,Douglas County,64
G3200070,Elko County,H7Z008,22,Elko County,32
G3200090,Esmeralda County,H7Z008,0,Esmeralda County,1
G3200110,Eureka County,H7Z008,0,Eureka County,1
G3200130,Humboldt County,H7Z008,15,Humboldt County,12
G3200150,Lander County,H7Z008,10,Lander County,0
G3200170,Lincoln County,H7Z008,0,Lincoln County,0
G3200190,Lyon County,H7Z008,51,Lyon County,79
G3200210,Mineral County,H7Z008,15,Mineral County,2
G3200230,Nye County,H7Z008,16,Nye County,53
G3200270,Pershing County,H7Z008,26,Pershing County,4
G3200290,Storey County,H7Z008,14,Storey County,2
G3200310,Washoe County,H7Z008,646,Washoe County,673
G3200330,White Pine County,H7Z008,0,White Pine County,6
G3205100,Carson City,H7Z008,68,Carson City,67
G3200010,Churchill County,H7Z009,731,Churchill County,782
G3200030,Clark County,H7Z009,60971,Clark County,61803
G3200050,Douglas County,H7Z009,1112,Douglas County,1044
G3200070,Elko County,H7Z009,783,Elko County,787
G3200090,Esmeralda County,H7Z009,112,Esmeralda County,21
G3200110,Eureka County,H7Z009,50,Eureka County,24
G3200130,Humboldt County,H7Z009,360,Humboldt County,251
G3200150,Lander County,H7Z009,125,Lander County,62
G3200170,Lincoln County,H7Z009,164,Lincoln County,86
G3200190,Lyon County,H7Z009,1246,Lyon County,1344
G3200210,Mineral County,H7Z009,171,Mineral County,160
G3200230,Nye County,H7Z009,1058,Nye County,1109
G3200270,Pershing County,H7Z009,207,Pershing County,118
G3200290,Storey County,H7Z009,78,Storey County,73
G3200310,Washoe County,H7Z009,9990,Washoe County,10281
G3200330,White Pine County,H7Z009,263,White Pine County,169
G3205100,Carson City,H7Z009,928,Carson City,1018
G3200010,Churchill County,H7Z010,2974,Churchill County,3009
G3200030,Clark County,H7Z010,568647,Clark County,568644
G3200050,Douglas County,H7Z010,5099,Douglas County,5103
G3200070,Elko County,H7Z010,11225,Elko County,11158
G3200090,Esmeralda County,H7Z010,278,Esmeralda County,120
G3200110,Eureka County,H7Z010,358,Eureka County,238
G3200130,Humboldt County,H7Z010,4077,Humboldt County,4038
G3200150,Lander County,H7Z010,1207,Lander County,1219
G3200170,Lincoln County,H7Z010,507,Lincoln County,332
G3200190,Lyon County,H7Z010,7834,Lyon County,7674
G3200210,Mineral County,H7Z010,541,Mineral County,436
G3200230,Nye County,H7Z010,5959,Nye County,5967
G3200270,Pershing County,H7Z010,1556,Pershing County,1508
G3200290,Storey County,H7Z010,370,Storey County,228
G3200310,Washoe County,H7Z010,93685,Washoe County,93724
G3200330,White Pine County,H7Z010,1500,White Pine County,1326
G3205100,Carson City,H7Z010,11850,Carson City,11777
G3200010,Churchill County,H7Z011,1340,Churchill County,1377
G3200030,Clark County,H7Z011,252284,Clark County,252157
G3200050,Douglas County,H7Z011,3006,Douglas County,3036
G3200070,Elko County,H7Z011,5033,Elko County,5042
G3200090,Esmeralda County,H7Z011,38,Esmeralda County,56
G3200110,Eureka County,H7Z011,87,Eureka County,113
G3200130,Humboldt County,H7Z011,1627,Humboldt County,1658
G3200150,Lander County,H7Z011,561,Lander County,594
G3200170,Lincoln County,H7Z011,197,Lincoln County,173
G3200190,Lyon County,H7Z011,3509,Lyon County,3530
G3200210,Mineral County,H7Z011,205,Mineral County,191
G3200230,Nye County,H7Z011,3059,Nye County,3092
G3200270,Pershing County,H7Z011,911,Pershing County,923
G3200290,Storey County,H7Z011,157,Storey County,161
G3200310,Washoe County,H7Z011,45911,Washoe County,45857
G3200330,White Pine County,H7Z011,918,White Pine County,923
G3205100,Carson City,H7Z011,5709,Carson City,5724
G3200010,Churchill County,H7Z012,25,Churchill County,29
G3200030,Clark County,H7Z012,9559,Clark County,9558
G3200050,Douglas County,H7Z012,38,Douglas County,27
G3200070,Elko County,H7Z012,29,Elko County,49
G3200090,Esmeralda County,H7Z012,0,Esmeralda County,0
G3200110,Eureka County,H7Z012,0,Eureka County,0
G3200130,Humboldt County,H7Z012,9,Humboldt County,9
G3200150,Lander County,H7Z012,0,Lander County,3
G3200170,Lincoln County,H7Z012,4,Lincoln County,1
G3200190,Lyon County,H7Z012,57,Lyon County,54
G3200210,Mineral County,H7Z012,5,Mineral County,14
G3200230,Nye County,H7Z012,32,Nye County,38
G3200270,Pershing County,H7Z012,3,Pershing County,2
G3200290,Storey County,H7Z012,0,Storey County,0
G3200310,Washoe County,H7Z012,714,Washoe County,726
G3200330,White Pine County,H7Z012,0,White Pine County,7
